floor,floors_count,rooms_count,total_meters,price_per_month,district,street,house_number,underground,lat,lon,geo_quality
3,17,1,39.0,40000,Некрасовка,проспект Защитников Москвы,11,Некрасовка,55.7016498,37.9202154,1
2,9,1,40.0,40000,Ивановское, Молостовых,6К2,Новогиреево,55.7640089,37.8278464,1
14,14,1,38.7,40000,Южное Бутово,бульвар Адмирала Ушакова,11,Улица Скобелевская,55.5460667,37.5489615,1
1,9,1,38.0,40000,Марьино, Марьинский Парк,11,Братиславская,55.6590784,37.7780191,1
3,14,1,38.4,35000,Крюково,Зеленоград,к1512,Зеленоград — Крюково,55.9824392,37.1572443,1
2,24,1,25.0,40000,Солнцево,Производственная ,17,Новопеределкино,55.6434402,37.3820192,1
5,5,1,29.9,40000,Люблино, Судакова,25К2,Люблино,55.6744883,37.7543575,1
5,14,1,32.0,40000,Зябликово,Кустанайская ,7К1,Красногвардейская,55.6183745,37.7566542,1
2,5,1,16.0,39000,Кузьминки,Жигулевская ,4К1,Кузьминки,55.7088777,37.7641971,0
12,12,2,45.6,40000,Зябликово, Мусы Джалиля,13,Шипиловская,55.626289,37.7462232,1
7,9,1,24.0,35000,Богородское,Краснобогатырская ,75К1,Преображенская площадь,55.8079265,37.7065979,1
4,9,1,34.0,35000,Гольяново,Хабаровская ,21,Щёлковская,55.8258103,37.8231053,1
14,17,1,42.0,35000,Южное Бутово, Маршала Савицкого,16,Щербинка,55.5041662,37.5874902,1
12,17,1,42.0,35000,Южное Бутово, Маршала Савицкого,16,Щербинка,55.5041662,37.5874902,1
1,14,1,26.0,35000,Братеево,Алма-Атинская ,10К1,Алма-Атинская,55.6388898,37.76743,1
7,14,1,38.0,35000,Савёлки,Зеленоград,к513,Зеленоград — Крюково,55.9972996,37.2350821,1
1,1,1,30.0,35000,Крюково, Новомалино,2сА,Зеленоград — Крюково,55.9720822,37.1860802,1
5,15,1,26.0,35000,Рязановское, Красовского,2к1,Щербинка,55.4964479,37.520372,1
14,14,1,38.0,35000,Рязановское,шоссе Остафьевское,12к1,Щербинка,55.5016679,37.5226933,1
2,5,1,16.9,35000,Новогиреево,Кусковская ,33,Кусково,55.7429434,37.7870674,1
2,5,1,35.0,35000,Рязанский, Коновалова,10,Чухлинка,55.7301525,37.7634253,1
7,12,1,40.0,35000,Матушкино,Зеленоград,к138,Зеленоград — Крюково,56.0047224,37.2106578,1
7,10,1,28.0,35000,Южное Бутово,Южнобутовская ,25К3,Улица Горчакова,55.5393165,37.5412632,1
2,14,1,23.5,35000,Молжаниновский,Ленинградское шоссе,228к7,Новоподрезково,55.9324311,37.3887036,1
3,3,1,28.0,32000,Северное Измайлово,Щелковское шоссе,100к1,Щёлковская,55.8099295,37.7854812,0
11,15,1,24.0,35000,Кокошкино, Аэростатная,12к1,Санино,55.5880181,37.1680364,1
11,14,1,35.0,35000,Рязановское,шоссе Остафьевское,14к3,Щербинка,55.5004362,37.5185125,1
3,14,1,39.0,35000,Ярославский,Ярославское шоссе,2К2,Свиблово,55.8525008,37.6802668,1
4,9,1,32.0,34000,Гольяново,Черницынский проезд,8,Щёлковская,55.8212744,37.7899014,1
4,5,1,32.0,35000,Рязанский, Михайлова,51/1,Окская,55.7214762,37.7867044,1
